| Name | Home Institution |
| Mike Peel | Imperial College London |
| Karen Perez Sarmiento | University of Pennsylvania |
| Lucio Piccirillo | University of Manchester |
| Elena Pierpaoli | University of Southern California |
| Tristan Pinsonneault-Marotte | Stanford University |
| Giampaolo Pisano | Cardiff University |
| Johnny Pitocco | University of Chicago |
| Chad Popik | Cornell University |
| Bhoomija Prasad | University of California, Berkeley |
| Roberto Puddu | Pontificia Universidad Catolica de Chile |
| Giuseppe Puglisi | Università di Catania |
| Frank J. Qu | Stanford University |
| Nicolò Raffuzzi | Lawrence Berkeley National Laboratory |
| Fazlu Rahman | Texas A&M University |
| Michael J. Randall | University of California, San Diego |
| Claudio Ranucci | International School for Advanced Studies (SISSA) |
| Chris Raum | University of California, Berkeley |
| Rodrigo Reeves | Universidad de Concepcion |
| Christian L. Reichardt | University of Melbourne |
| Mathieu Remazeilles | Instituto de Fisica de Cantabria |
| Xiaodong Ren | University of Iceland |
| Yoel Rephaeli | Tel Aviv University |
| Bernardita Ried Guachalla | Stanford University |
| Arianna Rizzieri | University of Oxford |
| Julia Robe | University of Pennsylvania |
| Mathew Fraser Robertson | University of Sussex |
| Naomi Robertson | University of Cambridge |
| Keir Rogers | Imperial College London |
| Augustin Romero | Stanford University |
| Erik Rosenberg | University of Manchester |
| Sam Rowe | Cardiff University |
| Elisa Russier | University of Chicago |
| Sharon Sadeh | Tel Aviv University |
| Noah Sailer | University of California, Berkeley |
| Tai Sakuma | Princeton University |
| Yuki Sakurai | Suwa University of Science |
| Gary H. Sanders | University of California, San Diego |
| Sotirios Sanidas | University of Manchester |
| Daichi Sasaki | University of Tokyo |
| Mayuri Sathyanarayana Rao | Raman Research Institute |
| Goureesankar Sathyanathan | University of California, Riverside |
| Thomas P. Satterthwaite | Stanford University |
| Lauren J. Saunders | University of Chicago |
| Lorenzo Scalcinati | University of Milano-Bicocca |
| Emmanuel Schaan | Stanford University |
| Benjamin Schmitt | University of Pennsylvania |
| Claudia Scoccola | University of Chile |
| Neelima Sehgal | Stony Brook University |
| Yudai Seino | Princeton University |
| Uros Seljak | University of California, Berkeley |
| Shabbir Shaikh | Arizona State University |
| Elle Shaw | University of Texas at Austin |
| Paul Shellard | University of Cambridge |
| Blake Sherwin | University of Cambridge |
| Meir Shimon | Tel Aviv University |
| Jordan E. Shroyer | University of Virginia |
| Carlos Sierra | Stanford University |
| Jonathan Sievers | University of KwaZulu-Natal |
| Cristóbal Sifón | Pontificia Universidad Católica de Valparaíso |
| Precious Sikhosana | University of KwaZulu-Natal |
| Maximiliano Silva-Feaver | Yale University |
| Sara M. Simon | Fermi National Accelerator Laboratory |
| Sophia Singh | University of Southern California |
| Kendrick Smith | Perimeter Institute |
| Wuhyun Sohn | Université Paris Cité |
| Xue Song | University of California, Berkeley |
| Thierry Souverin | University of Milano-Bicocca |
| David Spergel | Flatiron Institute |
| Adhitya Sriram | Arizona State University |
| Suzanne T. Staggs | Princeton University |
| George Stein | University of California, Berkeley |
| Radek Stompor | Université Paris Cité |
| Rashmi Sudiwala | Cardiff University |
| Yoshinori Sueno | Princeton University |
| Junna Sugiyama | University of Tokyo |
| Petar Suman | University of Cambridge |
| Kristen M. Surrao | Columbia University |
| Shreya Sutariya | University of Chicago |
| Aritoki Suzuki | Lawrence Berkeley National Laboratory |
| Junya Suzuki | Kyoto University |
| Osamu Tajima | Kyoto University |
| Ryota Takaku | High Energy Accelerator Research Organization (KEK) |
| Satoru Takakura | Kyoto University |
| Genki Takashima | High Energy Accelerator Research Organization (KEK) |
| Atsuto Takeuchi | University of Tokyo |
| Colm Talbot | Princeton University |
| Julien Tang | Lawrence Berkeley National Laboratory |
| Halim Tannous | Université Paris Cité |
| Simon Tartakovsky | Princeton University |
| Angela C. Taylor | University of Oxford |
| Alex Thomas | University of Chicago |
| Daniel B. Thomas | University of Manchester |
| Joseph Thornton | University of Cambridge |
| Robert Thornton | University of Pennsylvania |
| Peter Timbie | University of Wisconsin-Madison |
| Hy Trac | Carnegie Mellon University |
| Jesse Treu | Princeton University |
| Tran Tsan | Lawrence Berkeley National Laboratory |
| Ema Tsang King Sang | Université Paris Cité |
| Carole Tucker | Cardiff University |
| Joel Ullom | National Institute for Standards and Technology (NIST) |
| Léo Vacher | Université Paris-Saclay |
| Leila Vale | National Institute for Standards and Technology (NIST) |
| Alexander van Engelen | Arizona State University |
| Jeff Van Lanen | National Institute for Standards and Technology (NIST) |
| Joshiwa van Marrewijk | Leiden University |
| Daniel D. Van Winkle | Stanford University |
| Cristian Vargas | Texas A&M University |
| Eve M. Vavagiakis | Duke University |
| Ian Veenendaal | Cardiff University |
| Amalia Villarrubia Aguilar | Université Paris Cité |
| Michael Vissers | National Institute for Standards and Technology (NIST) |
| Marc Viña | Cardiff University |
| Kasey Wagoner | North Carolina State University |
| Liam Walters | University of Virginia |
| Yuhan Wang | Princeton University |
| Ingunn Kathrine Wehus | University of Oslo |
| Ben Westbrook | University of California, Berkeley |
| Gilles Weymann-Despres | University of Oxford |
| Paul Williams | Lawrence Berkeley National Laboratory |
| John Wilson | University of Virginia |
| Harrison Winch | University of Toronto |
| Edward J. Wollack | Goddard Space Flight Center |
| Kevin Wolz | University of Oxford |
| Jonathan Wong | University of Manchester |
| Zhilei Xu | Massachusetts Institute of Technology |
| Kyohei Yamada | Princeton University |
| Byeonghee Yu | University of California, Berkeley |
| Giorgia Zagatti | University of Ferrara |
| Mario Zannoni | University of Milano-Bicocca |
| Weida Zhang | University of Oxford |
| Andrea Zonca | University of California, San Diego |
| Iñigo Zubeldia | University of Cambridge |
